idempresa,olat,olon,n_obs,sd_km
5953,-24.6994,-60.59388,928,0
5457,-33.183546,-68.470854,118,0
1433,-33.165094,-68.444698,112,0
10897,-34.78801,-58.21385,238,0
3948,-34.793508,-58.248653,979,0
3951,-34.79213,-58.24976,953,0
3952,-34.78724,-58.2564,985,0
3950,-34.77115,-58.2442,949,0
5134,-34.8931,-58.17164,969,0
9181,-34.814427,-58.227984,802,0
5793,-34.660157,-58.585298,1424,0
5658,-34.5624,-58.579861,974,0
5307,-34.478565,-58.671858,1000,0
714,-34.17453,-59.78887,731,0
5826,-34.17453,-59.78887,124,0
2880,-34.78801,-58.21385,64,0
7432,-34.633144,-58.765195,278,0
813,-34.60792,-58.9546,747,0
814,-34.60323,-58.95074,747,0
809,-34.594137,-58.949277,772,0
812,-34.606923885,-58.958262601,106,0
3687,-32.810141,-61.396667,120,0
1350,-32.89952,-68.83602,708,0
4141,-34.621029,-68.316251,859,0
2771,-32.873819,-68.882886,1077,0
7399,-31.966237,-60.939282,145,0
6123,-31.746889,-60.525064,229,0
3211,-36.857376,-57.871615,629,0
6052,-37.435495,-57.730832,126,0
1372,-35.13755,-61.96809,311,0
6325,-33.885614,-61.69355,38,0
9194,-36.30046,-61.71622,758,0
3154,-36.240025,-61.124035,794,0
11094,-36.56653,-61.75135,16,0
11046,-36.602422,-61.749623,86,0
3132,-36.55256,-61.73602,794,0
3131,-36.602422,-61.749623,714,0
4279,-30.680522,-61.050689,411,0
2501,-31.413965,-64.16608,1338,0
2502,-31.425904,-64.19306,1374,0
4588,-30.713622,-62.004193,1022,0
817,-33.28268,-62.18486,737,0
1998,-34.56824,-58.84927,741,0
6511,-32.93481,-68.8269,8,0
10680,-31.970389,-63.384884,433,0
3040,-26.794493,-65.197619,539,0
2666,-26.794814,-65.197595,738,0
4373,-31.53862,-68.5678,555,0
11044,-31.5554066292676,-68.5675751393672,64,0
9600,-30.9209451867427,-62.676343757077,482,0
3264,-34.62673,-58.491,711,0
1477,-43.29083,-65.4967,718,0
5686,-35.972088,-62.736542,578,0
8553,-25.74022,-59.10836,64,0
9624,-32.75147,-63.78651,106,0
8998,-54.829501,-68.353252,706,0
1860,-38.82795,-68.065148,374,0
10524,-38.82795,-68.065148,80,0
5335,-31.86826,-62.7095,737,0
6038,-32.95925,-60.72196,198,0
2728,-34.58542,-58.43432,180,0
3117,-34.896004,-57.98906,76,0
3804,-34.493205,-58.548766,721,0
3575,-34.620218,-58.411008,1078,0
11096,-34.6579406901372,-58.4708328515501,378,0
7823,-34.813883,-58.112987,1154,0
7813,-34.86156,-58.5655,1265,0
7812,-34.86,-58.56413,1271,0
7824,-34.86628,-58.00323,1168,0
7804,-34.481497,-58.505657,947,0
10325,-34.92568,-57.93377,792,0
3827,-34.44852,-58.57654,1162,0
3603,-34.44869,-58.57722,1162,0
3577,-34.6313,-58.6783,1148,0
3579,-34.62925,-58.55758,1108,0
3571,-34.57637,-58.39094,1096,0
8198,-33.134074,-60.571999,279,0
3825,-34.54138,-58.47375,1088,0
3765,-34.597953,-58.419144,1190,0
3568,-34.588672,-58.450495,1227,0
3762,-34.568864,-58.457372,1080,0
3828,-34.608906,-58.429011,1384,0
3559,-34.5796,-58.40003,1102,0
3759,-34.546514,-58.451933,1094,0
3674,-34.7546,-58.40124,1001,0
3826,-34.482588,-58.490708,457,0
3580,-34.4741213741992,-58.5018963924319,806,0
3798,-34.508482,-58.479044,1110,0
3614,-34.541892,-58.463062,1086,0
3701,-34.911703,-57.954434,846,0
3815,-34.618076,-58.369675,1070,0
6922,-34.628613,-58.688326,1291,0
3586,-34.49751,-58.49742,350,0
3695,-34.93032,-57.95378,841,0
3708,-34.599479,-58.510271,805,0
6491,-34.736342,-58.389995,1017,0
7080,-34.681701,-58.385423,282,0
3829,-37.06578,-57.83757,1125,0
3885,-34.449476,-58.868056,1334,0
8197,-33.782652,-59.644668,387,0
3769,-34.900262,-57.969795,1122,0
3660,-37.10911,-56.87829,1173,0
3820,-34.55919,-58.5049,1100,0
3821,-34.56034,-58.50486,1100,0
3655,-34.682888,-58.344043,1297,0
3570,-34.589289,-58.381423,1076,0
3818,-34.615516,-58.415992,797,0
3622,-34.440106,-58.782852,325,0
3629,-35.52864,-58.01207,1119,0
3809,-34.11047,-59.12373,277,0
3822,-34.677183,-58.33156,1154,0
9575,-32.9271,-60.691139,1334,0
669,-43.295539,-65.092601,1296,0
8735,-43.30821,-65.051181,1286,0
912,-43.297963,-65.104142,1288,0
1593,-34.561644,-59.106161,630,0
3328,-27.570329,-60.711443,745,0
6760,-34.615824,-58.53732,101,0
2497,-34.50748,-58.53578,1023,0
6861,-34.56734,-58.607637,230,0
8041,-27.730365,-64.244563,56,0
7760,-37.244216,-56.972092,926,0
1079,-32.86918,-60.70049,422,0
7857,-32.955558,-60.649322,877,0
1685,-30.73711,-62.00724,8,0
5918,-27.36816,-55.92452,1964,0
7905,-34.980757,-58.082035,335,0
8428,-38.908931,-68.080039,738,0
3625,-34.56881,-59.09519,1088,0
3711,-34.60594,-58.63536,1260,0
11196,-34.55999,-58.48889,236,0
7717,-34.81547,-58.43129,1387,0
8077,-34.82014,-58.467,1000,0
4096,-28.475783,-65.768756,1128,0
6903,-28.470233,-65.792917,88,0
4084,-36.634082,-64.281264,102,0
6801,-33.314319,-66.343915,96,0
6343,-36.608655,-64.280995,218,0
4088,-33.309212,-66.32755,1042,0
4093,-33.293895,-66.343068,96,0
6766,-30.737379,-64.790369,81,0
6765,-30.726087,-64.803044,715,0
5867,-36.893828,-60.320981,1390,0
1607,-34.79728,-58.42305,1115,0
3091,-31.52559,-68.62862,723,0
7884,-34.597938,-58.57937,1120,0
5452,-34.59148,-58.37152,40,0
7829,-34.66553,-58.49096,720,0
7466,-32.946197,-60.646986,806,0
3172,-34.637932,-58.416276,972,0
10475,-32.532301,-58.929684,106,0
2298,-31.9509,-65.18229,768,0
11016,-32.249488,-65.80588,72,0
878,-34.608775,-58.424491,244,0
246,-31.54251,-68.51454,737,0
10124,-35.526484,-57.326839,66,0
9845,-36.499852,-57.309782,565,0
2671,-34.602434,-58.472318,104,0
2928,-34.804961,-58.388437,1387,0
2935,-34.765894,-58.476619,992,0
3163,-34.630746,-58.856544,47,0
1833,-34.81081,-58.63718,310,0
6054,-33.576988,-62.618984,548,0
4393,-40.68128,-66.1592,714,0
7887,-37.865358,-71.049582,544,0
7937,-35.14996,-62.2407,116,0
4647,-32.07432,-60.97269,222,0
3073,-34.66823,-58.41748,829,0
2174,-34.63844,-58.57272,246,0
5284,-34.78264,-58.209734,583,0
2739,-34.62287,-58.43458,106,0
10115,-41.132374,-71.284091,1027,0
3470,-34.533706,-58.718242,610,0
3383,-34.63741,-58.73756,652,0
1414,-51.626381,-69.247882,858,0
5687,-35.991157,-62.701406,258,0
5000,-26.19418,-58.20045,80,0
1317,-33.00563,-68.86776,803,0
4293,-34.638166,-58.582978,125,0
9367,-33.333371,-66.320492,916,0
6682,-32.940834,-60.7257,952,0
6601,-32.84179,-68.81913,6,0
5874,-33.714583,-61.047059,361,0
9612,-34.413758,-58.701735,1135,0
1683,-35.62769,-61.35909,742,0
1931,-34.78623,-58.4544,956,0
3673,-32.14062,-61.978774,960,0
3670,-31.856,-61.585,965,0
10972,-31.89881,-61.84654,166,0
1910,-34.65239,-58.53243,741,0
10985,-35.460906,-60.83927,330,0
8423,-35.452449,-60.876303,954,0
2710,-34.92,-57.91628,731,0
2919,-34.403207,-59.836778,2,0
4001,-34.923958,-57.924123,336,0
10631,-28.490154,-65.796593,256,0
8895,-26.81468,-65.20675,68,0
4094,-27.476258,-58.830238,962,0
11271,-27.4857819993617,-58.8162568217571,114,0
2122,-34.4336660832646,-58.5642652751465,74,0
9879,-26.93865,-60.058594,464,0
7430,-34.80577,-58.43953,718,0
2547,-31.379507,-64.154061,124,0
2549,-31.41214,-64.232248,109,0
9953,-34.666075,-58.600729,326,0
7086,-31.405183,-64.193688,178,0
4106,-31.407809,-64.236371,1023,0
10820,-32.94275,-62.24155,250,0
10522,-36.202803,-61.142656,386,0
10111,-35.361749,-64.487012,588,0
5719,-37.970197,-57.543656,1074,0
2921,-51.62774,-69.22237,708,0
3666,-34.266957,-59.454018,941,0
3671,-34.22913,-59.48594,928,0
2876,-33.28178,-62.17305,32,0
550,-27.49616667,-64.86328333,753,0
6541,-45.88421,-67.51854,954,0
8324,-29.18018,-56.67964,16,0
7615,-35.97464,-62.73451,742,0
8779,-36.22222,-61.10516,726,0
8256,-36.021045,-60.015233,463,0
9757,-27.482834,-58.979196,554,0
3978,-30.035351,-59.53028,240,0
1730,-31.51168,-59.84196,739,0
10790,-38.150198,-58.757359,392,0
6286,-30.24644,-57.65562,743,0
3675,-29.30069,-67.50553,743,0
3287,-36.7531,-62.95898,742,0
3232,-31.39029,-64.1758,12,0
3936,-34.515813,-58.568145,566,0
772,-34.834175,-58.401067,1013,0
1611,-34.40323,-59.82944,778,0
5623,-35.18746,-59.097527,878,0
5786,-34.777593,-62.999506,8,0
210,-27.9152,-55.7384,723,0
212,-27.74575,-55.78205,52,0
182,-34.736901,-58.277766,307,0
521,-33.92155,-61.08351,195,0
7040,-35.07403,-57.52765,627,0
9672,-31.646115,-60.718329,1008,0
10704,-34.639309,-58.518604,488,0
4679,-34.638061,-58.566238,542,0
7165,-34.51097,-58.52614,1326,0
2175,-34.511313,-58.532734,1461,0
7277,-34.44075,-58.58157,796,0
2760,-33.12298,-64.36401,172,0
8167,-31.3707,-64.053095,80,0
793,-33.39482,-63.30233,754,0
7448,-34.821218,-58.641619,1236,0
722,-34.80614,-58.63488,830,0
796,-27.17666,-60.63072,4,0
9403,-43.29083,-65.4967,8,0
6194,-39.280259,-65.669799,602,0
4852,-36.77804,-59.092552,742,0
7716,-36.76353,-59.08993,742,0
5502,-34.45264,-58.57421,502,0
9805,-34.486592,-58.617543,471,0
7288,-31.395739,-64.190336,658,0
10252,-31.395739,-64.190336,724,0
9904,-31.43337,-64.1589,564,0
10262,-29.71696,-57.08515,80,0
6492,-31.7637938680717,-60.4447878418646,483,0
6057,-36.42993,-56.91639,462,0
2007,-33.28147,-62.17886,737,0
2006,-31.3432,-64.22535,729,0
2010,-33.12011,-62.09341,737,0
7597,-32.68858,-62.093,737,0
2252,-32.3697361839576,-62.3068601352726,32,0
7599,-32.94516,-62.22499,16,0
2268,-32.79806,-63.24362,24,0
8684,-33.20996,-62.59494,737,0
2005,-33.10729,-61.69932,717,0
7083,-34.76392,-58.63708,795,0
9375,-32.990178,-58.523496,149,0
4037,-24.23344,-64.86411,795,0
6724,-26.810498,-65.191549,90,0
2785,-34.534882,-58.509322,393,0
6973,-34.458244,-58.566973,967,0
4819,-34.4646,-58.515154,396,0
11049,-26.815549,-65.249303,96,0
6518,-32.9591,-68.79003,12,0
2981,-32.88459,-68.81399,789,0
2486,-32.90452,-68.839272,11,0
8061,-27.791259,-64.266683,78,0
6723,-31.61703,-58.49776,1274,0
9697,-34.391446,-58.715183,849,0
6284,-34.380625,-58.750221,1104,0
371,-34.405606,-58.769884,1238,0
8049,-34.60095,-60.96143,806,0
8032,-31.42563,-64.14852,727,0
1639,-33.241311,-60.63517,208,0
203,-33.26428,-60.70532,698,0
2933,-33.80725,-61.33382,159,0
10043,-33.80725,-61.33382,312,0
3889,-27.6829,-60.91223,745,0
632,-34.611858,-58.442616,517,0
2408,-38.051447,-57.560511,790,0
7555,-33.8189,-59.51439,723,0
251,-28.44959,-65.72266,724,0
7105,-33.156119,-59.316618,8,0
214,-31.732873,-60.456294,800,0
223,-31.737744,-60.526945,796,0
9853,-31.94817,-65.05285,472,0
4263,-31.39921,-61.08229,1134,0
4696,-26.34005,-60.42957,729,0
8200,-31.533927,-68.545634,722,0
8738,-31.81576,-68.32842,656,0
8657,-31.66801,-68.39174,775,0
6015,-31.52039,-68.56756,314,0
6014,-31.52037,-68.5565,735,0
8348,-34.595253,-58.451369,686,0
3772,-27.482909,-58.78238,1204,0
1924,-34.81079,-58.542162,42,0
6680,-32.921747,-60.675087,43,0
1894,-34.548098,-58.468477,20,0
2070,-34.773234,-58.267362,48,0
1927,-34.641794,-58.624368,45,0
1902,-34.59787,-58.4057,4,0
6640,-34.39814,-58.65099,38,0
6681,-34.475557,-58.574679,42,0
6913,-34.48951,-58.484827,16,0
1928,-38.01948,-57.57122,38,0
1920,-34.679108,-58.55017,42,0
2086,-31.36437,-64.22483,52,0
1898,-34.559177,-58.445164,16,0
1937,-32.957113,-60.640693,40,0
1918,-34.610616,-58.410126,18,0
2084,-31.43337,-64.1589,40,0
1915,-34.640861,-58.389601,46,0
6035,-34.768672,-58.396358,44,0
2074,-34.49912,-58.54305,44,0
5488,-38.006026,-57.56107,38,0
1945,-34.48593,-58.615328,44,0
1909,-34.639309,-58.518604,42,0
2094,-34.45575,-58.8978,46,0
1940,-38.75249,-62.28361,54,0
2258,-51.62845,-69.20103,889,0
10299,-34.701693,-58.401313,778,0
10739,-38.55278,-58.730003,430,0
7097,-38.55278,-58.730003,424,0
4012,-25.972029,-54.562659,1062,0
4013,-26.018816,-54.585114,1064,0
4014,-34.6216861603699,-58.3912946278594,1070,0
5276,-35.982871,-62.726795,999,0
3184,-34.61105,-60.95844,204,0
8093,-48.74707,-70.260051,710,0
8092,-49.30625,-67.72952,718,0
413,-49.29628,-67.78323,722,0
7681,-32.426582,-63.737655,1188,0
1692,-45.862553,-67.497041,1058,0
4974,-32.85112,-61.2608,6,0
8933,-31.388261,-64.216281,78,0
5373,-33.377773,-61.712619,245,0
9397,-24.828776,-65.430137,957,0
10741,-32.610132,-62.690632,310,0
1301,-31.34722,-64.27083,1238,0
9193,-30.846111,-64.966914,642,0
4190,-30.70731,-64.056655,62,0
3838,-27.43944,-59.01468,741,0
5207,-37.080982,-57.831321,446,0
7016,-26.81384,-60.41675,745,0
8884,-36.22259,-64.27767,736,0
172,-34.40728,-58.7298,843,0
8269,-31.25019,-61.50571,862,0
10567,-31.56746,-59.96021,1945,0
2090,-31.78109,-60.46074,741,0
2095,-31.56746,-59.96021,735,0
10358,-32.911071,-64.022377,430,0
10353,-33.040976,-63.511739,422,0
10356,-33.03202,-63.67827,428,0
8940,-33.08564,-63.2728,502,0
4639,-25.49411,-64.97886,4,0
4642,-25.38358,-64.69004,6,0
4641,-24.74362,-64.2003,6,0
6885,-25.344887,-64.021844,4,0
7051,-47.02535,-67.24789,190,0
1076,-26.82124,-55.0233,722,0
10953,-26.588125,-62.846032,148,0
8250,-27.65692,-62.425166,906,0
9856,-27.65672,-62.40886,320,0
7767,-26.68089,-61.81761,872,0
2092,-34.59222,-67.87814,716,0
3929,-33.31332,-60.60215,810,0
6387,-34.65942,-58.63557,2070,0
1765,-34.636108,-58.786519,2014,0
8671,-34.608917,-58.868396,1785,0
1760,-34.648163,-58.796726,2129,0
4251,-30.944519,-61.559551,623,0
9812,-34.634061,-58.811612,1548,0
1757,-34.631774,-58.740351,2211,0
6580,-34.7494,-58.61112,2014,0
2085,-34.603989,-60.965011,124,0
10089,-34.603989,-60.965011,9,0
218,-24.68763,-65.04547,949,0
3159,-28.46074,-65.80091,739,0
10930,-40.81344,-63.01938,120,0
6348,-37.312441,-59.114254,632,0
1576,-31.36216,-64.20395,808,0
4959,-38.02097,-57.60369,1150,0
3101,-37.46095,-61.93721,734,0
3963,-24.71948,-65.40527,740,0
703,-32.48535,-58.241402,893,0
696,-33.010781,-58.51236,802,0
693,-33.194338,-59.257754,808,0
690,-33.135758,-59.314301,899,0
6262,-33.02295,-58.536632,620,0
6657,-37.452788,-61.93343,846,0
2264,-45.590382,-69.071424,1185,0
3371,-38.9411,-67.99682,732,0
7284,-34.73622,-58.49979,409,0
1867,-34.70847,-59.48808,745,0
9936,-24.119626,-65.404903,394,0
7261,-33.455855,-58.802047,36,0
2554,-33.49614,-64.31003,737,0
8956,-33.087257,-60.636117,792,0
11450,-38.0105075278499,-57.6307302183231,74,0
8385,-24.252132,-65.206027,70,0
7715,-24.190489,-65.295937,28,0
694,-43.25664,-65.300963,56,0
2604,-34.700268,-58.699451,889,0
7337,-31.460239,-64.20119,97,0
7696,-31.64964,-60.70402,628,0
8672,-41.13839,-71.32581,728,0
2317,-33.0095,-58.53652,648,0
1673,-38.955,-68.04907,733,0
1671,-40.042692,-70.072153,750,0
6528,-33.12672,-59.32314,90,0
4167,-31.76614,-60.52746,733,0
787,-26.186982,-58.180517,780,0
11055,-26.18831,-58.214191,104,0
7772,-26.23639,-58.247178,782,0
1355,-45.863051,-67.516387,1371,0
1353,-45.862415,-67.516482,1375,0
1357,-45.599522,-69.069123,1002,0
5235,-42.77254,-65.04019,728,0
10913,-34.5069406533816,-59.0921329456371,164,0
7998,-28.518761,-59.039433,745,0
9561,-38.754673,-62.203338,158,0
7962,-38.95673,-68.22963,738,0
1256,-38.95564,-68.2217,760,0
8732,-31.921021,-63.676774,1071,0
6455,-34.671391,-58.594979,66,0
8395,-38.04079,-57.54261,1366,0
482,-28.46884,-62.82458,96,0
479,-28.45755,-62.83934,741,0
1096,-28.93744,-59.56072,725,0
9520,-28.45755,-62.83934,528,0
9621,-28.46884,-62.82458,291,0
5511,-34.510756,-61.520122,829,0
6497,-34.487324,-58.619184,1078,0
2152,-34.715764,-58.298247,1058,0
9170,-33.455855,-58.802047,1128,0
11437,-34.554204,-59.096745,128,0
11128,-34.414206,-58.846754,406,0
10003,-34.809697,-58.173823,1132,0
6647,-34.644847,-58.787951,1816,0
1346,-38.02854,-57.58311,1756,0
1339,-34.63608,-58.78591,2125,0
1340,-34.622919,-58.775463,2132,0
1334,-34.634659,-58.667564,2077,0
1332,-34.672854,-58.561108,2114,0
1453,-34.65562,-58.523646,964,0
5310,-34.723508,-58.270544,870,0
11323,-35.0729820593415,-58.0833108083236,22,0
5312,-34.725495,-58.301804,862,0
10231,-34.681701,-58.385423,456,0
11033,-34.747581,-58.22571,196,0
9416,-27.4435,-55.874944,794,0
3085,-27.371128,-55.897692,1036,0
9198,-33.00897,-68.65004,641,0
291,-31.349342,-64.33693,508,0
3094,-33.08067,-68.42879,326,0
3087,-33.05642,-68.54952,398,0
1139,-33.189916,-68.461296,248,0
7834,-37.99028,-57.6079,90,0
995,-30.7458,-59.57946,751,0
5308,-30.710926,-62.00402,1097,0
8997,-33.459986,-61.510504,80,0
10136,-34.50313,-58.52915,322,0
4103,-31.445373,-64.211992,1482,0
133,-32.86234,-60.701866,732,0
1610,-34.68515,-58.40936,464,0
6232,-34.819017,-58.464783,12,0
1932,-38.366312,-60.293948,264,0
6328,-38.020642,-60.111734,48,0
3071,-32.9304,-60.72463,1341,0
7718,-37.97795,-57.58036,1324,0
8038,-37.322962,-59.131162,1095,0
10490,-33.0549044,-61.1608868,446,0
11017,-35.38862,-58.80912,8,0
5395,-42.78589,-65.03244,728,0
1772,-34.71997,-58.59711,936,0
1762,-34.733958,-58.602489,1073,0
7872,-34.754864,-58.196688,1149,0
8287,-38.549666,-58.74502,953,0
10080,-37.787764,-58.835055,624,0
6814,-38.52789,-58.759807,982,0
7994,-34.44789,-58.698606,957,0
10529,-47.022275,-67.252638,304,0
9165,-31.361787,-64.176317,1361,0
10526,-31.41455,-64.50346,80,0
10411,-37.675269,-59.806722,46,0
8934,-37.675422,-59.80502,1026,0
2778,-32.88972,-68.81499,695,0
4850,-27.732214,-64.237367,1000,0
5766,-34.785858,-58.627508,96,0
808,-34.627382,-58.390991,34,0
9950,-36.40971,-63.42113,760,0
10058,-34.67256,-63.36987,755,0
1612,-34.72786,-58.27845,741,0
5813,-38.71556,-61.29167,1206,0
977,-34.80219,-58.3755,845,0
8468,-26.33724,-60.40649,626,0
3206,-32.897974,-68.828539,120,0
6506,-32.71963,-68.610868,108,0
6340,-32.03378,-60.31093,951,0
1217,-29.49827,-59.75124,374,0
1289,-26.40861,-54.60369,722,0
1293,-26.42466,-54.64579,721,0
1299,-26.476965,-54.71058,590,0
1162,-34.49681,-58.58202,929,0
1681,-34.89225,-58.57021,1366,0
10208,-32.924678,-62.451201,332,0
244,-27.47166,-55.74543,709,0
3886,-27.16973,-65.48951,127,0
11088,-31.6648,-63.05368,354,0
8421,-31.875504,-62.716709,1048,0
10209,-31.931971,-62.462222,242,0
7322,-31.85654,-62.72296,1048,0
4748,-30.426233,-64.339231,1060,0
9918,-27.678872,-60.888305,580,0
9673,-27.482056,-65.619677,276,0
4280,-27.5893,-65.61405,68,0
5919,-27.796,-64.25074,244,0
5984,-27.784401,-64.265823,262,0
6889,-33.12122,-62.2994,737,0
2884,-31.35852,-64.25194,899,0
2936,-31.40233,-64.46938,785,0
5654,-34.65683,-58.76135,805,0
5653,-34.65763,-58.75999,905,0
5652,-34.666963,-58.757435,316,0
7352,-32.935223,-60.698647,128,0
1429,-32.891718,-68.829328,130,0
4429,-31.76215,-61.32144,726,0
4573,-31.44721,-60.91355,1266,0
10390,-34.7045868,-58.616545,567,0
2053,-34.928474,-57.910446,212,0
8783,-34.79318,-61.89187,48,0
9597,-34.869372,-61.531609,893,0
7011,-32.38236,-59.790231,821,0
9238,-29.718613,-57.087851,704,0
10081,-31.405712,-64.229296,390,0
224,-30.536566,-61.951968,507,0
6029,-35.811971,-61.886688,1088,0
4643,-35.163798,-58.221066,330,0
3635,-33.35069,-60.23736,776,0
10724,-34.876307,-58.075526,242,0
3314,-34.44103,-58.58436,902,0
3200,-30.737792,-59.641364,6,0
1494,-33.00454,-68.64543,703,0
8352,-33.005651,-60.787195,482,0
9598,-31.5383,-68.55367,585,0
7388,-26.824215,-65.207719,793,0
7147,-31.39823,-64.18681,194,0
10968,-34.7099,-58.366622,64,0
3819,-30.86758,-64.53378,890,0
10929,-35.030647,-58.72476,216,0
6702,-38.14406,-65.91695,8,0
5645,-27.58694,-66.3053,24,0
7749,-34.454715,-58.915367,236,0
2202,-34.586399,-58.560458,1086,0
4769,-31.243567,-59.208438,12,0
891,-31.73043,-60.53262,733,0
896,-31.74107,-60.49431,733,0
9030,-31.407823,-64.173051,97,0
9709,-34.673961,-58.501216,894,0
6953,-26.8564,-65.21746,167,0
1478,-37.97727,-61.38309,1036,0
3376,-33.22834,-60.46054,729,0
4693,-34.0034495857466,-61.6060894146116,8,0
2649,-27.78511,-64.269642,80,0
3796,-33.14865,-59.30996,743,0
2714,-33.67966,-65.46312,577,0
3205,-34.8127,-58.42201,712,0
2703,-33.27396,-68.31596,450,0
6841,-32.32061,-64.28316,20,0
7202,-37.15406,-63.24661,547,0
6369,-33.29718,-66.27564,731,0
9355,-35.04881,-58.09263,483,0
967,-24.80579,-65.41996,795,0
802,-45.794258,-67.491911,924,0
4155,-33.108663,-64.339629,794,0
804,-45.8008,-67.42454,902,0
1203,-24.96397,-65.48866,749,0
2660,-43.25513,-65.30718,718,0
164,-24.78667,-65.40282,741,0
279,-33.1464,-59.31432,765,0
2139,-32.93535,-60.65803,759,0
7117,-33.68742,-65.46529,1196,0
7385,-34.505115,-58.533998,1155,0
4968,-34.508567,-58.521204,1180,0
7543,-33.114684,-64.381774,976,0
153,-32.85188,-68.84037,699,0
1385,-32.84699,-68.84009,705,0
5302,-33.69934,-61.61824,742,0
1678,-32.86135,-68.8096,765,0
5590,-37.98664,-61.35566,86,0
8298,-34.708,-58.45797,543,0
1247,-34.606818,-58.485501,1135,0
385,-31.45027,-64.20023,871,0
163,-31.761629,-60.522309,836,0
136,-31.7223,-60.51522,950,0
9398,-24.235944,-64.87209,656,0
2902,-38.93749,-67.98633,194,0
8803,-27.77265,-65.5852,464,0
6693,-33.1162,-60.540579,228,0
3410,-34.30205,-61.30405,578,0
1873,-34.55503,-58.49584,710,0
5420,-31.67306,-61.07891,389,0
1432,-31.24528,-61.21023,733,0
2170,-31.335815,-64.176303,784,0
5295,-31.336674,-64.175758,80,0
1328,-43.30634,-65.70559,718,0
8140,-34.49836,-58.5192,899,0
2277,-31.654344,-60.721287,1081,0
7605,-34.931576646174,-57.8937717744827,727,0
3555,-25.49828,-64.98124,745,0
518,-34.55999,-58.48889,711,0
7601,-32.91101,-68.87111,726,0
549,-34.59926,-58.41041,888,0
7839,-34.566623,-58.560825,812,0
6674,-31.274856,-64.463606,703,0
8127,-25.81379,-62.84002,753,0
4460,-34.58389,-58.47823,707,0
8377,-33.033237,-68.878061,512,0
4007,-24.68027,-65.10156,558,0
1017,-26.81191,-65.30034,740,0
3990,-37.96168,-57.61865,812,0
10268,-24.842013,-65.492603,56,0
6746,-24.79711,-65.43263,731,0
4193,-34.678,-58.72716,791,0
9847,-27.34913,-65.60624,558,0
7636,-36.22207,-65.42869,740,0
5817,-40.18497,-62.62018,32,0
6808,-24.80784,-65.40584,837,0
3731,-25.12354,-64.12305,745,0
3247,-27.77265,-65.5852,350,0
2727,-51.03022,-70.77821,196,0
3337,-34.46928,-59.38908,735,0
1728,-32.961259,-68.866845,686,0
3097,-33.17833,-68.61246,507,0
3630,-34.75004,-58.70248,743,0
7108,-32.81186,-60.71775,574,0
6538,-27.12508,-65.46781,424,0
5792,-27.907897,-63.899415,936,0
7770,-32.369555,-61.088434,212,0
5572,-26.83842,-65.21142,198,0
7923,-31.33529,-64.20786,722,0
9688,-34.64604,-58.46665,642,0
5098,-32.47849,-58.24372,622,0
7219,-34.75353,-58.61362,813,0
3480,-31.411433,-64.245174,914,0
2430,-32.86718,-59.32972,18,0
4022,-30.364339,-61.910424,686,0
6989,-27.822206,-64.25444,1344,0
6192,-37.79091,-59.84295,6,0
309,-31.400924,-64.22458,1254,0
2236,-34.685069,-58.47882,840,0
6566,-27.48394,-54.96182,10,0
2915,-32.03113,-61.21901,733,0
184,-40.10527,-64.4542,722,0
7407,-30.29677,-61.22211,733,0
1496,-31.85532,-61.58112,733,0
3048,-30.94179,-61.54229,733,0
7462,-29.194985,-59.226395,16,0
922,-32.85818,-60.7044,774,0
6107,-34.746989761434,-58.3658477228927,10,0
9774,-33.12298,-64.36401,846,0
6703,-26.83308,-65.19584,938,0
10996,-26.807655,-65.257147,120,0
6865,-26.81304,-65.22884,968,0
1036,-32.939,-60.67858,883,0
4107,-27.474827,-58.846669,1192,0
8550,-31.56659,-68.53422,741,0
8549,-31.56244,-68.45492,743,0
751,-32.94808,-60.7107,811,0
9176,-31.463169,-64.168969,786,0
9512,-31.379635,-64.244425,576,0
8359,-31.459941,-64.107821,823,0
1384,-34.502407,-58.714284,1684,0
6954,-34.600079,-58.56187,1118,0
3174,-32.950478,-68.723297,564,0
8713,-27.809946,-64.266467,1164,0
6768,-34.74335,-58.43025,759,0
2590,-31.355809,-64.244343,1399,0
10441,-34.765024,-58.403818,566,0
3747,-34.618063,-58.381766,1074,0
2911,-32.43942,-63.24851,428,0
464,-34.81017,-58.44812,832,0
1605,-34.72801,-58.41964,749,0
7805,-34.765024,-58.403818,472,0
5153,-35.979672,-62.743932,148,0
5154,-35.96033,-62.74032,12,0
10377,-34.57318,-60.9668,160,0
6378,-34.424571,-58.578514,943,0
6372,-34.472458,-58.555797,973,0
8246,-31.37779,-64.16448,1516,0
8247,-31.40092,-64.16087,1468,0
156,-26.8531,-65.22399,27,0
8635,-31.386017,-64.279179,793,0
9869,-31.393642,-64.211468,146,0
533,-31.341084,-64.255038,1344,0
9579,-34.657161,-58.562702,817,0
3241,-43.30346,-65.09284,24,0
596,-27.06403,-65.399233,448,0
591,-27.17267,-65.49057,10,0
9840,-27.17267,-65.49057,548,0
6741,-27.03368,-65.30681,320,0
8048,-27.056067,-65.23679,474,0
7318,-27.039248,-65.296105,552,0
1444,-34.48859,-58.69348,931,0
1821,-34.524621,-58.681289,1447,0
5917,-34.452591,-58.944724,1238,0
5717,-34.631319,-58.426025,678,0
6955,-34.520317,-58.75457,1303,0
11020,-31.931971,-62.462222,290,0
8307,-34.838913,-58.38153,1430,0
