idempresa,olat,olon,n_obs,sd_km
6926,-34.37769,-59.82716,196,0
4128,-32.69854,-63.70913,745,0
9660,-34.934723,-58.006021,10,0
1423,-31.449224,-64.168565,1138,0
6708,-31.464846,-64.186904,1172,0
1975,-26.51207,-61.17216,745,0
2243,-26.60249,-60.95301,78,0
1138,-34.52487,-63.94413,737,0
3612,-32.44274,-63.71377,16,0
2738,-34.53745,-58.70726,636,0
6196,-34.56112,-58.6878,464,0
6593,-34.63932,-58.454156,460,0
1530,-38.68707,-62.33873,727,0
5629,-33.73092,-60.17386,95,0
1143,-34.66016,-58.614527,1246,0
811,-34.631825,-58.39878,113,0
2422,-34.77764,-58.22217,24,0
8890,-34.77764,-58.22217,797,0
623,-34.69863,-58.57706,1016,0
1446,-34.57116,-58.74387,793,0
7400,-34.51359,-58.74021,1324,0
1248,-34.463893,-58.744446,1377,0
6977,-34.52825,-58.77212,989,0
176,-33.05051,-68.56452,714,0
6177,-33.08622,-68.46531,741,0
179,-33.33967,-67.90993,810,0
183,-33.00112,-68.75743,699,0
1520,-51.57546,-72.21239,698,0
1508,-51.53922,-72.33893,1539,0
3512,-34.6262,-58.44893,614,0
10634,-37.677135,-59.802766,34,0
1469,-37.99948,-57.59845,820,0
271,-33.00897,-68.65004,70,0
7831,-33.8127,-59.50788,102,0
5931,-37.327133,-59.114723,751,0
5930,-37.31346,-59.144624,753,0
3238,-34.669528,-58.41579,119,0
7142,-31.64516,-64.43349,1555,0
472,-31.651071,-64.407949,1433,0
473,-31.660043,-64.409964,122,0
471,-31.668229,-64.410139,1556,0
2827,-31.43132,-64.223523,118,0
8648,-33.09994,-68.56855,344,0
252,-34.663585,-58.522247,76,0
4752,-28.47694,-65.79354,703,0
9011,-28.468933,-65.768988,68,0
7725,-31.431213,-64.497495,1412,0
8089,-31.4349,-64.19531,1463,0
9593,-31.635516,-64.434677,1220,0
8286,-31.983472,-64.551385,1510,0
10531,-32.067233,-64.52952,334,0
2872,-38.898859,-70.063859,384,0
10234,-38.879933,-71.186505,18,0
5615,-31.35017,-59.44469,406,0
6507,-34.58704,-58.5263,328,0
4856,-32.77421,-61.60551,708,0
3220,-34.632822,-58.520051,4,0
9937,-26.80341,-65.20424,513,0
8301,-26.747041,-65.21769,140,0
8113,-26.747041,-65.21769,620,0
10426,-33.657144,-59.87083,364,0
9807,-38.68556,-62.22917,40,0
3930,-34.6462,-58.622454,1037,0
7524,-34.57605,-58.5475,60,0
3448,-32.934305,-60.652178,34,0
5804,-34.73422,-58.519629,863,0
6269,-24.676583,-65.049105,100,0
1000,-34.58596,-60.95085,813,0
10975,-37.31345,-59.11282,110,0
7311,-38.95919,-68.07009,14,0
7007,-38.96009,-68.03979,14,0
11027,-32.89659,-68.80982,72,0
3450,-24.77095,-65.397606,1064,0
283,-34.55031,-58.470947,121,0
2802,-34.670678,-58.390921,22,0
7612,-40.10394,-64.47351,314,0
4006,-33.19083,-68.46674,400,0
9066,-27.774863,-64.271179,12,0
7424,-31.42216,-64.18994,783,0
9505,-31.459075,-64.186873,586,0
9630,-34.923553,-58.380809,520,0
9894,-34.73654,-58.39794,102,0
2365,-32.43005,-63.73131,725,0
650,-31.6473149683463,-60.7152007045213,423,0
2881,-33.19527,-68.4616,331,0
906,-38.6897,-59.7811,264,0
902,-38.693698,-62.322495,432,0
2487,-32.926947,-68.822661,146,0
5660,-35.11834,-60.48223,26,0
10612,-32.904624,-60.913002,564,0
570,-41.61276,-65.353525,884,0
8471,-32.923872,-60.9118,774,0
9455,-34.64713,-58.50761,878,0
3369,-34.66875,-58.56077,750,0
3035,-32.628856,-62.693546,781,0
7576,-24.209916,-65.280346,353,0
2280,-28.3551,-59.2635,733,0
7946,-35.57714,-58.00805,544,0
6990,-36.88167,-60.3275,997,0
8744,-38.819567,-68.135349,744,0
682,-38.95743,-68.15193,740,0
2873,-51.61582,-69.22837,724,0
5066,-34.7581,-60.83435,823,0
5065,-34.58275,-60.93537,1315,0
5398,-26.15675,-58.18625,733,0
8249,-33.806534,-61.337443,8,0
2226,-34.7213790417198,-63.5061008511734,737,0
9494,-31.592069,-60.711769,106,0
7304,-27.19432,-59.28855,791,0
240,-34.84565,-62.46596,742,0
7702,-31.459007,-64.214868,1386,0
10871,-34.482588,-58.490708,713,0
10999,-34.4741213741992,-58.5018963924319,472,0
11009,-31.349342,-64.33693,486,0
9720,-31.34642,-64.283146,1101,0
8370,-31.44185,-64.17681,1357,0
10747,-34.489862,-58.524312,823,0
10870,-34.49434,-58.55147,752,0
6502,-31.381568,-64.175702,1356,0
9513,-31.351742,-64.147523,1196,0
10412,-31.347436,-64.147987,868,0
10748,-27.658609,-62.430501,745,0
6537,-28.6344,-65.13334,574,0
7107,-34.657161,-58.562702,252,0
4184,-30.2114,-64.49258,481,0
305,-31.9570549904004,-60.1243298551559,739,0
9027,-31.254309,-61.48089,968,0
4631,-34.654019,-58.411213,191,0
10898,-34.386956,-58.830135,298,0
4514,-34.386956,-58.830135,908,0
