provincia,localidad,departamento,fuente
SANTA FE,VILLA AMELIA,Rosario,georef
SANTA FE,VILLA CAÑAS,General López,georef
SANTA FE,VILLA CONSTITUCION,Constitución,georef
SANTA FE,VILLA ELOISA,Iriondo,georef
SANTA FE,VILLA GOBERNADOR GALVEZ,Rosario,georef
SANTA FE,VILLA MINETTI,9 de Julio,georef
SANTA FE,VILLA MUGUETA,San Lorenzo,georef
SANTA FE,VILLA OCAMPO,General Obligado,georef
SANTA FE,VILLA TRINIDAD,San Cristóbal,georef
SANTA FE,VILLADA,Caseros,georef
SANTA FE,WHEELWRIGHT,General López,georef
SANTA FE,ZAVALLA,Rosario,georef
SANTA FE,ZENON PEREYRA,Castellanos,georef
SANTIAGO DEL ESTERO,AÑATUYA,General Taboada,georef
SANTIAGO DEL ESTERO,BANDERA,Belgrano,georef
SANTIAGO DEL ESTERO,BELTRAN,Robles,georef
SANTIAGO DEL ESTERO,CAMPO GALLO,Alberdi,georef
SANTIAGO DEL ESTERO,CLODOMIRA,Banda,georef
SANTIAGO DEL ESTERO,COLONIA DORA,Avellaneda,georef
SANTIAGO DEL ESTERO,COLONIA EL SIMBOLAR,Robles,georef
SANTIAGO DEL ESTERO,CUATRO BOCAS,Belgrano,georef
SANTIAGO DEL ESTERO,EL ZANJON,Capital,georef
SANTIAGO DEL ESTERO,FERNANDEZ,Robles,georef
SANTIAGO DEL ESTERO,FRIAS,Choya,georef
SANTIAGO DEL ESTERO,LA BANDA,Banda,georef
SANTIAGO DEL ESTERO,LAVALLE,Guasayán,georef
SANTIAGO DEL ESTERO,LORETO,Loreto,georef
SANTIAGO DEL ESTERO,LOS JURIES,General Taboada,georef
SANTIAGO DEL ESTERO,LOS TELARES,Salavina,georef
SANTIAGO DEL ESTERO,MALBRAM,Aguirre,georef
SANTIAGO DEL ESTERO,MONTE QUEMADO,Copo,georef
SANTIAGO DEL ESTERO,NUEVA ESPERANZA,Pellegrini,georef
SANTIAGO DEL ESTERO,OJO DE AGUA,Ojo de Agua,georef
SANTIAGO DEL ESTERO,PAMPA DE LOS GUANACOS,Copo,georef
SANTIAGO DEL ESTERO,PINTO,Aguirre,georef
SANTIAGO DEL ESTERO,POZO HONDO,Jiménez,georef
SANTIAGO DEL ESTERO,QUIMILI,Moreno,georef
SANTIAGO DEL ESTERO,RIO HONDO,Río Hondo,georef
SANTIAGO DEL ESTERO,SACHAYOJ,Alberdi,georef
SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,Capital,georef
SANTIAGO DEL ESTERO,SELVA,Rivadavia,georef
SANTIAGO DEL ESTERO,SGO. DEL ESTERO,Capital,georef
SANTIAGO DEL ESTERO,SUNCHO CORRAL,Juan Felipe Ibarra,georef
SANTIAGO DEL ESTERO,TINTINA,Moreno,georef
TIERRA DEL FUEGO,RIO GRANDE,Río Grande,georef
TIERRA DEL FUEGO,SAN SEBASTIAN,Río Grande,correccion
TIERRA DEL FUEGO,TOLHUIN,Tolhuin,georef
TIERRA DEL FUEGO,USHUAIA,Ushuaia,georef
TUCUMAN,AGUILARES,Río Chico,georef
TUCUMAN,ALBERDI,Juan Bautista Alberdi,georef
TUCUMAN,ALDERETES,Cruz Alta,georef
TUCUMAN,AMAICHA DEL VALLE,Tafí del Valle,georef
TUCUMAN,BANDA DEL RIO SALI,Cruz Alta,georef
TUCUMAN,BELLA VISTA,Leales,georef
TUCUMAN,BENJAMIN PAZ,Trancas,georef
TUCUMAN,BURRUYACU,Burruyacú,georef
TUCUMAN,CEVIL POZO,Cruz Alta,correccion
TUCUMAN,CONCEPCION,Chicligasta,georef
TUCUMAN,FAMAILLA,Famaillá,georef
TUCUMAN,GRANEROS,Graneros,georef
TUCUMAN,LA COCHA,La Cocha,georef
TUCUMAN,LA FLORIDA,Cruz Alta,georef
TUCUMAN,LAS CEJAS,Cruz Alta,georef
TUCUMAN,LAS TALITAS,Tafí Viejo,georef
TUCUMAN,LEALES,Leales,georef
TUCUMAN,LOS GUTIERREZ,Cruz Alta,georef
TUCUMAN,LOS NOGALES,Tafí Viejo,georef
TUCUMAN,LOS PORCELES,Cruz Alta,correccion
TUCUMAN,LOS RALOS,Cruz Alta,georef
TUCUMAN,LULES,Lules,georef
TUCUMAN,MACOMITAS,Burruyacú,georef
TUCUMAN,MONTEROS,Monteros,georef
TUCUMAN,RANCHILLOS,Cruz Alta,georef
TUCUMAN,RIO CHICO,Río Chico,georef
TUCUMAN,RIO SECO,Monteros,georef
TUCUMAN,S.M. DE TUCUMAN,Capital,georef
TUCUMAN,SAN ANDRES,Cruz Alta,georef
TUCUMAN,SAN MIGUEL DE TUCUMAN,Capital,georef
TUCUMAN,SAN PABLO,Lules,georef
TUCUMAN,SAN PEDRO DE COLALAO,Trancas,georef
TUCUMAN,SIMOCA,Simoca,georef
TUCUMAN,TAFI DEL VALLE,Tafí del Valle,georef
TUCUMAN,TAFI VIEJO,Tafí Viejo,georef
TUCUMAN,TAPIA,Trancas,georef
TUCUMAN,TRANCAS,Trancas,georef
TUCUMAN,YERBA BUENA,Yerba Buena,georef
